nom_région,NB,salaire_moyen_région
Alsace,1757039,13.4595
Aquitaine,2976641,13.4512
Auvergne,1221502,13.7902
Basse-Normandie,1345522,12.6235
Île-de-France,10743254,18.0794
Champagne-Ardenne,1225832,12.6435
Picardie,1744090,13.2172
Haute-Normandie,1696921,13.5379
Centre,2358988,13.3454
Bourgogne,1405573,12.7503
Midi-Pyrénées,2657315,13.0678
Lorraine,2156464,12.833
Franche-Comté,1065371,12.6707
Pays de la Loire,3272384,13.2064
Bretagne,3083358,13.0568
Poitou-Charentes,1596949,12.8725
Provence-Alpes-Côte d'Azur,4666408,13.9447
Rhône-Alpes,5829272,12.6314
Languedoc-Roussillon,2529849,14.229
Limousin,672746,12.99
Guadeloupe,351570,12.711
Guyane,244549,13.7753
Martinique,309665,12.763
Corse,330000,12.53
Nord-Pas-de-Calais,4026000,13.19
